"Panel","PanelLabel","Covariate","n","rho","p","CovariateLabel","label"
"a","Arctic Ocean","ChlorophyllA",38,0.636920056385479,1.71311225303044e-05,"Chlorophyll a","atop(rho == 0.64, atop(italic(p) < 1e-4, n == 38))"
"a","Arctic Ocean","Depth.nominal",36,-0.679823697380684,5.1121953132285e-06,"Depth (m)","atop(rho == -0.68, atop(italic(p) < 1e-4, n == 36))"
"a","Arctic Ocean","NO3",28,-0.664382779006315,0.000115405222733445,"Nitrate","atop(rho == -0.66, atop(italic(p) == 0.00012, n == 28))"
"a","Arctic Ocean","Oxygen",38,0.611336032388664,4.55728603841306e-05,"Oxygen","atop(rho == 0.61, atop(italic(p) < 1e-4, n == 38))"
"a","Arctic Ocean","PO4",28,-0.587655678145864,0.00100827999991545,"Phosphate","atop(rho == -0.59, atop(italic(p) == 0.001, n == 28))"
"a","Arctic Ocean","Temperature",38,-0.076047707626655,0.649981625450488,"Temperature (deg C)","atop(rho == -0.08, atop(italic(p) == 0.65, n == 38))"
"b","North Atlantic Ocean","ChlorophyllA",24,0.681229202651077,0.000247562065179131,"Chlorophyll a","atop(rho == 0.68, atop(italic(p) == 0.00025, n == 24))"
"b","North Atlantic Ocean","Depth.nominal",24,-0.604960274785194,0.0017373851713789,"Depth (m)","atop(rho == -0.60, atop(italic(p) == 0.0017, n == 24))"
"b","North Atlantic Ocean","NO3",22,-0.483324220711113,0.0226819640387597,"Nitrate","atop(rho == -0.48, atop(italic(p) == 0.023, n == 22))"
"b","North Atlantic Ocean","Oxygen",22,0.421795595708639,0.0505523999392157,"Oxygen","atop(rho == 0.42, atop(italic(p) == 0.051, n == 22))"
"b","North Atlantic Ocean","PO4",16,-0.261764705882353,0.327410411812586,"Phosphate","atop(rho == -0.26, atop(italic(p) == 0.33, n == 16))"
"b","North Atlantic Ocean","Temperature",24,0.436521739130435,0.0329528957755271,"Temperature (deg C)","atop(rho == 0.44, atop(italic(p) == 0.033, n == 24))"
