"method1","method2","procrustes_r","p_value","Method1","Method2","method1_index","method2_index","label"
"AHC_beta","AHC_beta",1,NA,"AHC beta diversity","AHC beta diversity",1,1,"1.00"
"AHC_beta","Aitchison_pc0.01",0.549551278076454,0.001,"AHC beta diversity","Aitchison (pc = 0.01)",1,2,"0.55"
"AHC_beta","Aitchison_pc0.5",0.527447603518305,0.001,"AHC beta diversity","Aitchison (pc = 0.5)",1,3,"0.53"
"AHC_beta","Aitchison_pc1",0.523048432119433,0.001,"AHC beta diversity","Aitchison (pc = 1)",1,4,"0.52"
"Aitchison_pc0.01","AHC_beta",0.549551278076455,0.001,"Aitchison (pc = 0.01)","AHC beta diversity",2,1,"0.55"
"Aitchison_pc0.01","Aitchison_pc0.01",1,NA,"Aitchison (pc = 0.01)","Aitchison (pc = 0.01)",2,2,"1.00"
"Aitchison_pc0.01","Aitchison_pc0.5",0.973626410045334,0.001,"Aitchison (pc = 0.01)","Aitchison (pc = 0.5)",2,3,"0.97"
"Aitchison_pc0.01","Aitchison_pc1",0.960812515949221,0.001,"Aitchison (pc = 0.01)","Aitchison (pc = 1)",2,4,"0.96"
"Aitchison_pc0.5","AHC_beta",0.527447603518307,0.001,"Aitchison (pc = 0.5)","AHC beta diversity",3,1,"0.53"
"Aitchison_pc0.5","Aitchison_pc0.01",0.973626410045334,0.001,"Aitchison (pc = 0.5)","Aitchison (pc = 0.01)",3,2,"0.97"
"Aitchison_pc0.5","Aitchison_pc0.5",1,NA,"Aitchison (pc = 0.5)","Aitchison (pc = 0.5)",3,3,"1.00"
"Aitchison_pc0.5","Aitchison_pc1",0.998525929377505,0.001,"Aitchison (pc = 0.5)","Aitchison (pc = 1)",3,4,"1.00"
"Aitchison_pc1","AHC_beta",0.523048432119435,0.001,"Aitchison (pc = 1)","AHC beta diversity",4,1,"0.52"
"Aitchison_pc1","Aitchison_pc0.01",0.960812515949221,0.001,"Aitchison (pc = 1)","Aitchison (pc = 0.01)",4,2,"0.96"
"Aitchison_pc1","Aitchison_pc0.5",0.998525929377506,0.001,"Aitchison (pc = 1)","Aitchison (pc = 0.5)",4,3,"1.00"
"Aitchison_pc1","Aitchison_pc1",1,NA,"Aitchison (pc = 1)","Aitchison (pc = 1)",4,4,"1.00"
